timestamp,energy_consumption
2026-07-01 00:00:00,0.121
2026-07-01 01:00:00,0.117
2026-07-01 02:00:00,0.118
2026-07-01 03:00:00,0.101
2026-07-01 04:00:00,0.103
2026-07-01 05:00:00,0.1
2026-07-01 06:00:00,0.114
2026-07-01 07:00:00,0.19
2026-07-01 08:00:00,0.188
2026-07-01 09:00:00,0.19
2026-07-01 10:00:00,0.111
2026-07-01 11:00:00,0.135
2026-07-01 12:00:00,0.09
2026-07-01 13:00:00,0.103
2026-07-01 14:00:00,0.13
2026-07-01 15:00:00,0.095
2026-07-01 16:00:00,0.095
2026-07-01 17:00:00,0.111
2026-07-01 18:00:00,0.317
2026-07-01 19:00:00,0.352
2026-07-01 20:00:00,0.352
2026-07-01 21:00:00,0.346
2026-07-01 22:00:00,0.338
2026-07-01 23:00:00,0.11
2026-07-02 00:00:00,0.112
2026-07-02 01:00:00,0.152
2026-07-02 02:00:00,0.112
2026-07-02 03:00:00,0.155
2026-07-02 04:00:00,0.101
2026-07-02 05:00:00,0.128
2026-07-02 06:00:00,0.112
2026-07-02 07:00:00,0.263
2026-07-02 08:00:00,0.244
2026-07-02 09:00:00,0.21
2026-07-02 10:00:00,0.148
2026-07-02 11:00:00,0.107
2026-07-02 12:00:00,0.147
2026-07-02 13:00:00,0.101
2026-07-02 14:00:00,0.131
2026-07-02 15:00:00,0.128
2026-07-02 16:00:00,0.131
2026-07-02 17:00:00,0.118
2026-07-02 18:00:00,0.358
2026-07-02 19:00:00,0.365
2026-07-02 20:00:00,0.377
2026-07-02 21:00:00,0.37
2026-07-02 22:00:00,0.367
2026-07-02 23:00:00,0.105
2026-07-03 00:00:00,0.137
2026-07-03 01:00:00,0.127
2026-07-03 02:00:00,0.155
2026-07-03 03:00:00,0.144
2026-07-03 04:00:00,0.157
2026-07-03 05:00:00,0.125
2026-07-03 06:00:00,0.154
2026-07-03 07:00:00,0.266
2026-07-03 08:00:00,0.272
2026-07-03 09:00:00,0.202
2026-07-03 10:00:00,0.119
2026-07-03 11:00:00,0.114
2026-07-03 12:00:00,0.116
2026-07-03 13:00:00,0.143
2026-07-03 14:00:00,0.109
2026-07-03 15:00:00,0.107
2026-07-03 16:00:00,0.101
2026-07-03 17:00:00,0.139
2026-07-03 18:00:00,0.398
2026-07-03 19:00:00,0.376
2026-07-03 20:00:00,0.393
2026-07-03 21:00:00,0.412
2026-07-03 22:00:00,0.383
2026-07-03 23:00:00,0.122
2026-07-04 00:00:00,0.15
2026-07-04 01:00:00,0.14
2026-07-04 02:00:00,0.198
2026-07-04 03:00:00,0.176
2026-07-04 04:00:00,0.202
2026-07-04 05:00:00,0.194
2026-07-04 06:00:00,0.134
2026-07-04 07:00:00,0.276
2026-07-04 08:00:00,0.359
2026-07-04 09:00:00,0.345
2026-07-04 10:00:00,0.162
2026-07-04 11:00:00,0.178
2026-07-04 12:00:00,0.199
2026-07-04 13:00:00,0.194
2026-07-04 14:00:00,0.178
2026-07-04 15:00:00,0.201
2026-07-04 16:00:00,0.13
2026-07-04 17:00:00,0.193
2026-07-04 18:00:00,0.526
2026-07-04 19:00:00,0.473
2026-07-04 20:00:00,0.457
2026-07-04 21:00:00,0.499
2026-07-04 22:00:00,0.484
2026-07-04 23:00:00,0.201
2026-07-05 00:00:00,0.187
2026-07-05 01:00:00,0.178
2026-07-05 02:00:00,0.164
2026-07-05 03:00:00,0.149
2026-07-05 04:00:00,0.209
2026-07-05 05:00:00,0.22
2026-07-05 06:00:00,0.143
2026-07-05 07:00:00,0.373
2026-07-05 08:00:00,0.328
2026-07-05 09:00:00,0.322
2026-07-05 10:00:00,0.181
2026-07-05 11:00:00,0.182
2026-07-05 12:00:00,0.199
2026-07-05 13:00:00,0.154
2026-07-05 14:00:00,0.214
2026-07-05 15:00:00,0.17
2026-07-05 16:00:00,0.199
2026-07-05 17:00:00,0.145
2026-07-05 18:00:00,0.499
2026-07-05 19:00:00,0.569
2026-07-05 20:00:00,0.496
2026-07-05 21:00:00,0.584
2026-07-05 22:00:00,0.525
2026-07-05 23:00:00,0.208
2026-07-06 00:00:00,0.104
2026-07-06 01:00:00,0.13
2026-07-06 02:00:00,0.154
2026-07-06 03:00:00,0.135
2026-07-06 04:00:00,0.132
2026-07-06 05:00:00,0.121
2026-07-06 06:00:00,0.125
2026-07-06 07:00:00,0.242
2026-07-06 08:00:00,0.222
2026-07-06 09:00:00,0.234
2026-07-06 10:00:00,0.13
2026-07-06 11:00:00,0.105
2026-07-06 12:00:00,0.123
2026-07-06 13:00:00,0.11
2026-07-06 14:00:00,0.131
2026-07-06 15:00:00,0.119
2026-07-06 16:00:00,0.13
2026-07-06 17:00:00,0.12
2026-07-06 18:00:00,0.38
2026-07-06 19:00:00,0.394
2026-07-06 20:00:00,0.373
2026-07-06 21:00:00,0.419
2026-07-06 22:00:00,0.359
2026-07-06 23:00:00,0.123
2026-07-07 00:00:00,0.133
2026-07-07 01:00:00,0.116
2026-07-07 02:00:00,0.147
2026-07-07 03:00:00,0.113
2026-07-07 04:00:00,0.128
2026-07-07 05:00:00,0.125
2026-07-07 06:00:00,0.132
2026-07-07 07:00:00,0.276
2026-07-07 08:00:00,0.247
2026-07-07 09:00:00,0.208
2026-07-07 10:00:00,0.142
2026-07-07 11:00:00,0.141
2026-07-07 12:00:00,0.14
2026-07-07 13:00:00,0.158
2026-07-07 14:00:00,0.137
2026-07-07 15:00:00,0.129
2026-07-07 16:00:00,0.147
2026-07-07 17:00:00,0.134
2026-07-07 18:00:00,0.351
2026-07-07 19:00:00,0.366
2026-07-07 20:00:00,0.36
2026-07-07 21:00:00,0.35
2026-07-07 22:00:00,0.373
2026-07-07 23:00:00,0.131
2026-07-08 00:00:00,0.12
2026-07-08 01:00:00,0.127
2026-07-08 02:00:00,0.097
2026-07-08 03:00:00,0.097
2026-07-08 04:00:00,0.126
2026-07-08 05:00:00,0.125
2026-07-08 06:00:00,0.086
2026-07-08 07:00:00,0.234
2026-07-08 08:00:00,0.177
2026-07-08 09:00:00,0.188
2026-07-08 10:00:00,0.092
2026-07-08 11:00:00,0.117
2026-07-08 12:00:00,0.103
2026-07-08 13:00:00,0.122
2026-07-08 14:00:00,0.127
2026-07-08 15:00:00,0.126
2026-07-08 16:00:00,0.1
2026-07-08 17:00:00,0.135
2026-07-08 18:00:00,0.336
2026-07-08 19:00:00,0.315
2026-07-08 20:00:00,0.326
2026-07-08 21:00:00,0.316
2026-07-08 22:00:00,0.321
2026-07-08 23:00:00,0.116
2026-07-09 00:00:00,0.114
2026-07-09 01:00:00,0.15
2026-07-09 02:00:00,0.146
2026-07-09 03:00:00,0.143
2026-07-09 04:00:00,0.112
2026-07-09 05:00:00,0.105
2026-07-09 06:00:00,0.14
2026-07-09 07:00:00,0.217
2026-07-09 08:00:00,0.275
2026-07-09 09:00:00,0.212
2026-07-09 10:00:00,0.123
2026-07-09 11:00:00,0.16
2026-07-09 12:00:00,0.151
2026-07-09 13:00:00,0.146
2026-07-09 14:00:00,0.111
2026-07-09 15:00:00,0.116
2026-07-09 16:00:00,0.149
2026-07-09 17:00:00,0.123
2026-07-09 18:00:00,0.389
2026-07-09 19:00:00,0.395
2026-07-09 20:00:00,0.383
2026-07-09 21:00:00,0.389
2026-07-09 22:00:00,0.359
2026-07-09 23:00:00,0.109
2026-07-10 00:00:00,0.108
2026-07-10 01:00:00,0.124
2026-07-10 02:00:00,0.123
2026-07-10 03:00:00,0.119
2026-07-10 04:00:00,0.158
2026-07-10 05:00:00,0.128
2026-07-10 06:00:00,0.144
2026-07-10 07:00:00,0.247
2026-07-10 08:00:00,0.215
2026-07-10 09:00:00,0.222
2026-07-10 10:00:00,0.127
2026-07-10 11:00:00,0.122
2026-07-10 12:00:00,0.149
2026-07-10 13:00:00,0.115
2026-07-10 14:00:00,0.139
2026-07-10 15:00:00,0.14
2026-07-10 16:00:00,0.153
2026-07-10 17:00:00,0.153
2026-07-10 18:00:00,0.397
2026-07-10 19:00:00,0.379
2026-07-10 20:00:00,0.389
2026-07-10 21:00:00,0.398
2026-07-10 22:00:00,0.419
2026-07-10 23:00:00,0.157
2026-07-11 00:00:00,0.184
2026-07-11 01:00:00,0.134
2026-07-11 02:00:00,0.136
2026-07-11 03:00:00,0.145
2026-07-11 04:00:00,0.188
2026-07-11 05:00:00,0.155
2026-07-11 06:00:00,0.142
2026-07-11 07:00:00,0.327
2026-07-11 08:00:00,0.295
2026-07-11 09:00:00,0.325
2026-07-11 10:00:00,0.165
2026-07-11 11:00:00,0.15
2026-07-11 12:00:00,0.132
2026-07-11 13:00:00,0.204
2026-07-11 14:00:00,0.144
2026-07-11 15:00:00,0.143
2026-07-11 16:00:00,0.142
2026-07-11 17:00:00,0.142
2026-07-11 18:00:00,0.457
