"timestamp","consumption_kwh","tou_period","rate_inr_per_kwh","simulated_cost_inr"
"2010-04-11 16:00:00",0.438805967569351,"normal",6,2.63283580541611
"2010-04-11 17:00:00",1.01049268245697,"peak",10,10.1049268245697
"2010-04-11 18:00:00",0.754691481590271,"peak",10,7.54691481590271
"2010-04-11 19:00:00",2.1040210723877,"peak",10,21.040210723877
"2010-04-11 20:00:00",1.47276151180267,"peak",10,14.7276151180267
"2010-04-11 21:00:00",2.49902868270874,"peak",10,24.9902868270874
"2010-04-11 22:00:00",2.4428448677063,"off_peak",3,7.3285346031189
"2010-04-11 23:00:00",0.853023648262024,"off_peak",3,2.55907094478607
"2010-04-12 00:00:00",0.343330442905426,"off_peak",3,1.02999132871628
"2010-04-12 01:00:00",0.420834213495255,"off_peak",3,1.26250264048576
"2010-04-12 02:00:00",0.388827741146088,"off_peak",3,1.16648322343826
"2010-04-12 03:00:00",0.410474926233292,"off_peak",3,1.23142477869987
"2010-04-12 04:00:00",0.413567364215851,"off_peak",3,1.24070209264755
"2010-04-12 05:00:00",0.491899996995926,"off_peak",3,1.47569999098778
"2010-04-12 06:00:00",0.703632831573486,"normal",6,4.22179698944092
"2010-04-12 07:00:00",1.51218330860138,"normal",6,9.07309985160828
"2010-04-12 08:00:00",1.73879218101501,"normal",6,10.4327530860901
"2010-04-12 09:00:00",1.31438422203064,"normal",6,7.88630533218384
"2010-04-12 10:00:00",1.31222522258759,"normal",6,7.87335133552551
"2010-04-12 11:00:00",1.3144998550415,"normal",6,7.88699913024902
"2010-04-12 12:00:00",1.46295845508575,"normal",6,8.77775073051453
"2010-04-12 13:00:00",1.46728324890137,"normal",6,8.8036994934082
"2010-04-12 14:00:00",1.26307594776154,"normal",6,7.57845568656921
"2010-04-12 15:00:00",1.07815778255463,"normal",6,6.46894669532776
"2010-04-12 16:00:00",0.391621530056,"normal",6,2.349729180336
"2010-04-12 17:00:00",0.382118731737137,"peak",10,3.82118731737137
"2010-04-12 18:00:00",1.03092157840729,"peak",10,10.3092157840729
"2010-04-12 19:00:00",1.26557350158691,"peak",10,12.6557350158691
"2010-04-12 20:00:00",1.51742196083069,"peak",10,15.1742196083069
"2010-04-12 21:00:00",2.09077572822571,"peak",10,20.9077572822571
"2010-04-12 22:00:00",1.25752937793732,"off_peak",3,3.77258813381195
"2010-04-12 23:00:00",0.641390383243561,"off_peak",3,1.92417114973068
"2010-04-13 00:00:00",0.39397606253624,"off_peak",3,1.18192818760872
"2010-04-13 01:00:00",0.50146222114563,"off_peak",3,1.50438666343689
